match_id,inning,batting_team,bowling_team,over,season,who_is_batting_first,total_runs,is_wicket,run_rate,target_runs,target_left,req_runrate,curr_run_rate,weighted_run_rate,season_year
335987,1,9,10,14,2007/08,Punjab Kings,11,0,8.0,0,0,0.0,11,9.42,2007
335987,1,9,10,15,2007/08,Punjab Kings,3,0,7.666666666666667,0,0,0.0,3,4.92,2007
335987,1,9,10,16,2007/08,Punjab Kings,13,0,8.0,0,0,0.0,13,10.58,2007
335987,1,9,10,17,2007/08,Punjab Kings,8,1,8.0,0,0,0.0,8,8.77,2007
335987,1,9,10,18,2007/08,Punjab Kings,2,2,7.666666666666667,0,0,0.0,2,4.03,2007
335987,1,9,10,19,2007/08,Punjab Kings,11,1,7.842105263157895,0,0,0.0,11,8.91,2007
335987,1,9,10,20,2007/08,Punjab Kings,17,0,8.3,0,0,0.0,17,14.57,2007
335987,2,10,9,1,2007/08,Punjab Kings,6,0,6.0,167,161,8.05,6,6.0,2007
335987,2,10,9,2,2007/08,Punjab Kings,7,1,6.5,167,154,8.105263157894736,7,6.7,2007
335987,2,10,9,3,2007/08,Punjab Kings,15,1,9.333333333333334,167,139,7.722222222222222,15,12.51,2007
335987,2,10,9,4,2007/08,Punjab Kings,14,0,10.5,167,125,7.352941176470588,14,13.55,2007
335987,2,10,9,5,2007/08,Punjab Kings,6,1,9.6,167,119,7.4375,6,8.27,2007
335987,2,10,9,6,2007/08,Punjab Kings,5,0,8.833333333333334,167,114,7.6,5,5.98,2007
335987,2,10,9,7,2007/08,Punjab Kings,7,0,8.571428571428571,167,107,7.642857142857143,7,6.69,2007
335987,2,10,9,8,2007/08,Punjab Kings,5,0,8.125,167,102,7.846153846153846,5,5.51,2007
335987,2,10,9,9,2007/08,Punjab Kings,11,0,8.444444444444445,167,91,7.583333333333333,11,9.35,2007
335987,2,10,9,10,2007/08,Punjab Kings,11,0,8.7,167,80,7.272727272727272,11,10.51,2007
335987,2,10,9,11,2007/08,Punjab Kings,12,0,9.0,167,68,6.8,12,11.55,2007
335987,2,10,9,12,2007/08,Punjab Kings,3,1,8.5,167,65,7.222222222222222,3,5.57,2007
335987,2,10,9,13,2007/08,Punjab Kings,12,0,8.76923076923077,167,53,6.625,12,10.07,2007
335987,2,10,9,14,2007/08,Punjab Kings,13,0,9.071428571428571,167,40,5.714285714285714,13,12.12,2007
335987,2,10,9,15,2007/08,Punjab Kings,15,0,9.466666666666669,167,25,4.166666666666667,15,14.14,2007
335987,2,10,9,16,2007/08,Punjab Kings,10,0,9.5,167,15,3.0,10,11.24,2007
335987,2,10,9,17,2007/08,Punjab Kings,2,0,9.058823529411764,167,13,3.25,2,4.77,2007
335987,2,10,9,18,2007/08,Punjab Kings,10,0,9.11111111111111,167,3,1.0,10,8.43,2007
335987,2,10,9,19,2007/08,Punjab Kings,4,0,8.842105263157896,167,0,0.0,4,5.33,2007
335988,1,13,1,1,2007/08,Sunrisers Hyderabad,1,0,1.0,0,0,0.0,1,1.0,2007
335988,1,13,1,2,2007/08,Sunrisers Hyderabad,8,1,4.5,0,0,0.0,8,5.9,2007
335988,1,13,1,3,2007/08,Sunrisers Hyderabad,6,0,5.0,0,0,0.0,6,5.97,2007
335988,1,13,1,4,2007/08,Sunrisers Hyderabad,1,0,4.0,0,0,0.0,1,2.49,2007
335988,1,13,1,5,2007/08,Sunrisers Hyderabad,7,0,4.6,0,0,0.0,7,5.65,2007
335988,1,13,1,6,2007/08,Sunrisers Hyderabad,2,1,4.166666666666667,0,0,0.0,2,3.09,2007
335988,1,13,1,7,2007/08,Sunrisers Hyderabad,9,0,4.857142857142857,0,0,0.0,9,7.23,2007
335988,1,13,1,8,2007/08,Sunrisers Hyderabad,2,1,4.5,0,0,0.0,2,3.57,2007
335988,1,13,1,9,2007/08,Sunrisers Hyderabad,7,0,4.777777777777778,0,0,0.0,7,5.97,2007
335988,1,13,1,10,2007/08,Sunrisers Hyderabad,2,1,4.5,0,0,0.0,2,3.19,2007
335988,1,13,1,11,2007/08,Sunrisers Hyderabad,9,0,4.909090909090909,0,0,0.0,9,7.26,2007
335988,1,13,1,12,2007/08,Sunrisers Hyderabad,6,0,5.0,0,0,0.0,6,6.38,2007
335988,1,13,1,13,2007/08,Sunrisers Hyderabad,2,1,4.769230769230769,0,0,0.0,2,3.31,2007
335988,1,13,1,14,2007/08,Sunrisers Hyderabad,6,0,4.857142857142857,0,0,0.0,6,5.19,2007
335988,1,13,1,15,2007/08,Sunrisers Hyderabad,5,0,4.866666666666666,0,0,0.0,5,5.06,2007
335988,1,13,1,16,2007/08,Sunrisers Hyderabad,9,0,5.125,0,0,0.0,9,7.82,2007
335988,1,13,1,17,2007/08,Sunrisers Hyderabad,8,1,5.294117647058823,0,0,0.0,8,7.95,2007
335988,1,13,1,18,2007/08,Sunrisers Hyderabad,26,0,6.444444444444445,0,0,0.0,26,20.58,2007
335988,1,13,1,19,2007/08,Sunrisers Hyderabad,12,1,6.7368421052631575,0,0,0.0,12,14.58,2007
335988,1,13,1,20,2007/08,Sunrisers Hyderabad,14,1,7.1,0,0,0.0,14,14.17,2007
335988,2,1,13,1,2007/08,Sunrisers Hyderabad,4,0,4.0,143,139,6.95,4,4.0,2007
335988,2,1,13,2,2007/08,Sunrisers Hyderabad,14,0,9.0,143,125,6.578947368421052,14,11.0,2007
335988,2,1,13,3,2007/08,Sunrisers Hyderabad,12,0,10.0,143,113,6.277777777777778,12,11.7,2007
335988,2,1,13,4,2007/08,Sunrisers Hyderabad,2,1,8.0,143,111,6.529411764705882,2,4.91,2007
335988,2,1,13,5,2007/08,Sunrisers Hyderabad,5,0,7.4,143,106,6.625,5,4.97,2007
335988,2,1,13,6,2007/08,Sunrisers Hyderabad,11,0,8.0,143,95,6.333333333333333,11,9.19,2007
335988,2,1,13,7,2007/08,Sunrisers Hyderabad,7,0,7.857142857142857,143,88,6.285714285714286,7,7.66,2007
335988,2,1,13,8,2007/08,Sunrisers Hyderabad,5,0,7.5,143,83,6.384615384615385,5,5.8,2007
335988,2,1,13,9,2007/08,Sunrisers Hyderabad,23,0,9.22222222222222,143,60,5.0,23,17.84,2007
335988,2,1,13,10,2007/08,Sunrisers Hyderabad,12,0,9.5,143,48,4.363636363636363,12,13.75,2007
335988,2,1,13,11,2007/08,Sunrisers Hyderabad,5,0,9.090909090909092,143,43,4.3,5,7.63,2007
335988,2,1,13,12,2007/08,Sunrisers Hyderabad,12,0,9.333333333333334,143,31,3.4444444444444446,12,10.69,2007
335988,2,1,13,13,2007/08,Sunrisers Hyderabad,30,0,10.923076923076923,143,1,0.125,30,24.21,2007
335988,2,1,13,14,2007/08,Sunrisers Hyderabad,1,0,10.214285714285714,143,0,0.0,1,7.96,2007
335989,1,0,7,1,2007/08,Chennai Super Kings,7,0,7.0,0,0,0.0,7,7.0,2007
335989,1,0,7,2,2007/08,Chennai Super Kings,9,0,8.0,0,0,0.0,9,8.4,2007
335989,1,0,7,3,2007/08,Chennai Super Kings,18,0,11.333333333333334,0,0,0.0,18,15.12,2007
335989,1,0,7,4,2007/08,Chennai Super Kings,1,1,8.75,0,0,0.0,1,5.24,2007
335989,1,0,7,5,2007/08,Chennai Super Kings,5,1,8.0,0,0,0.0,5,5.07,2007
335989,1,0,7,6,2007/08,Chennai Super Kings,13,0,8.833333333333334,0,0,0.0,13,10.62,2007
335989,1,0,7,7,2007/08,Chennai Super Kings,6,0,8.428571428571429,0,0,0.0,6,7.39,2007
335989,1,0,7,8,2007/08,Chennai Super Kings,5,0,8.0,0,0,0.0,5,5.72,2007
335989,1,0,7,9,2007/08,Chennai Super Kings,8,0,8.0,0,0,0.0,8,7.31,2007
335989,1,0,7,10,2007/08,Chennai Super Kings,10,0,8.2,0,0,0.0,10,9.19,2007
335989,1,0,7,11,2007/08,Chennai Super Kings,14,0,8.727272727272727,0,0,0.0,14,12.56,2007
335989,1,0,7,12,2007/08,Chennai Super Kings,16,0,9.333333333333334,0,0,0.0,16,14.97,2007
335989,1,0,7,13,2007/08,Chennai Super Kings,11,0,9.461538461538462,0,0,0.0,11,12.19,2007
335989,1,0,7,14,2007/08,Chennai Super Kings,14,0,9.785714285714286,0,0,0.0,14,13.46,2007
335989,1,0,7,15,2007/08,Chennai Super Kings,6,1,9.533333333333331,0,0,0.0,6,8.24,2007
335989,1,0,7,16,2007/08,Chennai Super Kings,15,0,9.875,0,0,0.0,15,12.97,2007
335989,1,0,7,17,2007/08,Chennai Super Kings,10,0,9.882352941176473,0,0,0.0,10,10.89,2007
335989,1,0,7,18,2007/08,Chennai Super Kings,14,0,10.11111111111111,0,0,0.0,14,13.07,2007
335989,1,0,7,19,2007/08,Chennai Super Kings,12,1,10.210526315789474,0,0,0.0,12,12.32,2007
335989,1,0,7,20,2007/08,Chennai Super Kings,14,1,10.4,0,0,0.0,14,13.5,2007
335989,2,7,0,1,2007/08,Chennai Super Kings,9,1,9.0,209,200,10.0,9,9.0,2007
335989,2,7,0,2,2007/08,Chennai Super Kings,4,0,6.5,209,196,10.31578947368421,4,5.5,2007
335989,2,7,0,3,2007/08,Chennai Super Kings,12,0,8.333333333333334,209,184,10.22222222222222,12,10.05,2007
335989,2,7,0,4,2007/08,Chennai Super Kings,6,1,7.75,209,178,10.470588235294118,6,7.22,2007
335989,2,7,0,5,2007/08,Chennai Super Kings,19,0,10.0,209,159,9.9375,19,15.46,2007
335989,2,7,0,6,2007/08,Chennai Super Kings,2,0,8.666666666666666,209,157,10.466666666666669,2,6.04,2007
335989,2,7,0,7,2007/08,Chennai Super Kings,5,0,8.142857142857142,209,152,10.857142857142858,5,5.31,2007
335989,2,7,0,8,2007/08,Chennai Super Kings,11,0,8.5,209,141,10.846153846153848,11,9.29,2007
335989,2,7,0,9,2007/08,Chennai Super Kings,7,0,8.333333333333334,209,134,11.166666666666666,7,7.69,2007
335989,2,7,0,10,2007/08,Chennai Super Kings,8,1,8.3,209,126,11.454545454545457,8,7.91,2007
335989,2,7,0,11,2007/08,Chennai Super Kings,7,0,8.181818181818182,209,119,11.9,7,7.27,2007
335989,2,7,0,12,2007/08,Chennai Super Kings,9,1,8.25,209,110,12.22222222222222,9,8.48,2007
335989,2,7,0,13,2007/08,Chennai Super Kings,11,0,8.461538461538462,209,99,12.375,11,10.24,2007
335989,2,7,0,14,2007/08,Chennai Super Kings,20,0,9.285714285714286,209,79,11.285714285714286,20,17.07,2007
335989,2,7,0,15,2007/08,Chennai Super Kings,4,1,8.933333333333334,209,75,12.5,4,7.92,2007
335989,2,7,0,16,2007/08,Chennai Super Kings,13,1,9.1875,209,62,12.4,13,11.48,2007
335989,2,7,0,17,2007/08,Chennai Super Kings,21,0,9.882352941176473,209,41,10.25,21,18.14,2007
335989,2,7,0,18,2007/08,Chennai Super Kings,13,0,10.055555555555555,209,28,9.333333333333334,13,14.54,2007
335989,2,7,0,19,2007/08,Chennai Super Kings,9,1,10.0,209,19,9.5,9,10.66,2007
335989,2,7,0,20,2007/08,Chennai Super Kings,12,0,10.1,209,7,0.0,12,11.6,2007
335990,1,13,10,1,2007/08,Sunrisers Hyderabad,12,0,12.0,0,0,0.0,12,12.0,2007
335990,1,13,10,2,2007/08,Sunrisers Hyderabad,10,0,11.0,0,0,0.0,10,10.6,2007
335990,1,13,10,3,2007/08,Sunrisers Hyderabad,10,2,10.666666666666666,0,0,0.0,10,10.18,2007
335990,1,13,10,4,2007/08,Sunrisers Hyderabad,1,0,8.25,0,0,0.0,1,3.75,2007
335990,1,13,10,5,2007/08,Sunrisers Hyderabad,15,0,9.6,0,0,0.0,15,11.63,2007
335990,1,13,10,6,2007/08,Sunrisers Hyderabad,10,0,9.666666666666666,0,0,0.0,10,10.49,2007
335990,1,13,10,7,2007/08,Sunrisers Hyderabad,3,0,8.714285714285714,0,0,0.0,3,5.25,2007
335990,1,13,10,8,2007/08,Sunrisers Hyderabad,11,0,9.0,0,0,0.0,11,9.27,2007
335990,1,13,10,9,2007/08,Sunrisers Hyderabad,6,1,8.666666666666666,0,0,0.0,6,6.98,2007
335990,1,13,10,10,2007/08,Sunrisers Hyderabad,7,0,8.5,0,0,0.0,7,6.99,2007
335990,1,13,10,11,2007/08,Sunrisers Hyderabad,14,0,9.0,0,0,0.0,14,11.9,2007
335990,1,13,10,12,2007/08,Sunrisers Hyderabad,9,0,9.0,0,0,0.0,9,9.87,2007
335990,1,13,10,13,2007/08,Sunrisers Hyderabad,10,0,9.076923076923077,0,0,0.0,10,9.96,2007
335990,1,13,10,14,2007/08,Sunrisers Hyderabad,11,0,9.214285714285714,0,0,0.0,11,10.69,2007
335990,1,13,10,15,2007/08,Sunrisers Hyderabad,19,0,9.866666666666667,0,0,0.0,19,16.51,2007
335990,1,13,10,16,2007/08,Sunrisers Hyderabad,12,0,10.0,0,0,0.0,12,13.35,2007
335990,1,13,10,17,2007/08,Sunrisers Hyderabad,11,0,10.058823529411764,0,0,0.0,11,11.71,2007
335990,1,13,10,18,2007/08,Sunrisers Hyderabad,15,1,10.333333333333334,0,0,0.0,15,14.01,2007
335990,1,13,10,19,2007/08,Sunrisers Hyderabad,17,0,10.68421052631579,0,0,0.0,17,16.1,2007
335990,1,13,10,20,2007/08,Sunrisers Hyderabad,11,1,10.7,0,0,0.0,11,12.53,2007
335990,2,10,13,1,2007/08,Sunrisers Hyderabad,5,0,5.0,215,210,10.5,5,5.0,2007
