match_id,inning,batting_team,bowling_team,over,season,who_is_batting_first,total_runs,is_wicket
335986,1,Sunrisers Hyderabad,Kolkata Knight Riders,3,2007/08,Sunrisers Hyderabad,0,1
335986,1,Sunrisers Hyderabad,Kolkata Knight Riders,4,2007/08,Sunrisers Hyderabad,2,1
335986,1,Sunrisers Hyderabad,Kolkata Knight Riders,5,2007/08,Sunrisers Hyderabad,16,0
335986,1,Sunrisers Hyderabad,Kolkata Knight Riders,6,2007/08,Sunrisers Hyderabad,6,0
335986,1,Sunrisers Hyderabad,Kolkata Knight Riders,7,2007/08,Sunrisers Hyderabad,2,0
335986,1,Sunrisers Hyderabad,Kolkata Knight Riders,8,2007/08,Sunrisers Hyderabad,1,2
335986,1,Sunrisers Hyderabad,Kolkata Knight Riders,9,2007/08,Sunrisers Hyderabad,4,0
335986,1,Sunrisers Hyderabad,Kolkata Knight Riders,10,2007/08,Sunrisers Hyderabad,5,0
335986,1,Sunrisers Hyderabad,Kolkata Knight Riders,11,2007/08,Sunrisers Hyderabad,2,1
335986,1,Sunrisers Hyderabad,Kolkata Knight Riders,12,2007/08,Sunrisers Hyderabad,3,0
335986,1,Sunrisers Hyderabad,Kolkata Knight Riders,13,2007/08,Sunrisers Hyderabad,3,0
335986,1,Sunrisers Hyderabad,Kolkata Knight Riders,14,2007/08,Sunrisers Hyderabad,12,1
335986,1,Sunrisers Hyderabad,Kolkata Knight Riders,15,2007/08,Sunrisers Hyderabad,5,0
335986,1,Sunrisers Hyderabad,Kolkata Knight Riders,16,2007/08,Sunrisers Hyderabad,20,0
335986,1,Sunrisers Hyderabad,Kolkata Knight Riders,17,2007/08,Sunrisers Hyderabad,3,2
335986,1,Sunrisers Hyderabad,Kolkata Knight Riders,18,2007/08,Sunrisers Hyderabad,5,2
335986,2,Kolkata Knight Riders,Sunrisers Hyderabad,0,2007/08,Sunrisers Hyderabad,6,0
335986,2,Kolkata Knight Riders,Sunrisers Hyderabad,1,2007/08,Sunrisers Hyderabad,10,1
335986,2,Kolkata Knight Riders,Sunrisers Hyderabad,2,2007/08,Sunrisers Hyderabad,2,1
335986,2,Kolkata Knight Riders,Sunrisers Hyderabad,3,2007/08,Sunrisers Hyderabad,3,0
335986,2,Kolkata Knight Riders,Sunrisers Hyderabad,4,2007/08,Sunrisers Hyderabad,2,1
335986,2,Kolkata Knight Riders,Sunrisers Hyderabad,5,2007/08,Sunrisers Hyderabad,3,0
335986,2,Kolkata Knight Riders,Sunrisers Hyderabad,6,2007/08,Sunrisers Hyderabad,7,0
335986,2,Kolkata Knight Riders,Sunrisers Hyderabad,7,2007/08,Sunrisers Hyderabad,1,0
335986,2,Kolkata Knight Riders,Sunrisers Hyderabad,8,2007/08,Sunrisers Hyderabad,1,0
335986,2,Kolkata Knight Riders,Sunrisers Hyderabad,9,2007/08,Sunrisers Hyderabad,3,0
335986,2,Kolkata Knight Riders,Sunrisers Hyderabad,10,2007/08,Sunrisers Hyderabad,11,0
335986,2,Kolkata Knight Riders,Sunrisers Hyderabad,11,2007/08,Sunrisers Hyderabad,15,0
335986,2,Kolkata Knight Riders,Sunrisers Hyderabad,12,2007/08,Sunrisers Hyderabad,4,1
335986,2,Kolkata Knight Riders,Sunrisers Hyderabad,13,2007/08,Sunrisers Hyderabad,9,0
335986,2,Kolkata Knight Riders,Sunrisers Hyderabad,14,2007/08,Sunrisers Hyderabad,4,0
335986,2,Kolkata Knight Riders,Sunrisers Hyderabad,15,2007/08,Sunrisers Hyderabad,6,0
335986,2,Kolkata Knight Riders,Sunrisers Hyderabad,16,2007/08,Sunrisers Hyderabad,3,1
335986,2,Kolkata Knight Riders,Sunrisers Hyderabad,17,2007/08,Sunrisers Hyderabad,13,0
335986,2,Kolkata Knight Riders,Sunrisers Hyderabad,18,2007/08,Sunrisers Hyderabad,9,0
335987,1,Punjab Kings,Rajasthan Royals,0,2007/08,Punjab Kings,1,0
335987,1,Punjab Kings,Rajasthan Royals,1,2007/08,Punjab Kings,5,0
335987,1,Punjab Kings,Rajasthan Royals,2,2007/08,Punjab Kings,10,0
335987,1,Punjab Kings,Rajasthan Royals,3,2007/08,Punjab Kings,8,0
335987,1,Punjab Kings,Rajasthan Royals,4,2007/08,Punjab Kings,14,1
335987,1,Punjab Kings,Rajasthan Royals,5,2007/08,Punjab Kings,16,0
335987,1,Punjab Kings,Rajasthan Royals,6,2007/08,Punjab Kings,5,1
335987,1,Punjab Kings,Rajasthan Royals,7,2007/08,Punjab Kings,11,1
335987,1,Punjab Kings,Rajasthan Royals,8,2007/08,Punjab Kings,3,1
335987,1,Punjab Kings,Rajasthan Royals,9,2007/08,Punjab Kings,9,0
335987,1,Punjab Kings,Rajasthan Royals,10,2007/08,Punjab Kings,3,0
335987,1,Punjab Kings,Rajasthan Royals,11,2007/08,Punjab Kings,12,0
335987,1,Punjab Kings,Rajasthan Royals,12,2007/08,Punjab Kings,4,0
335987,1,Punjab Kings,Rajasthan Royals,13,2007/08,Punjab Kings,11,0
335987,1,Punjab Kings,Rajasthan Royals,14,2007/08,Punjab Kings,3,0
335987,1,Punjab Kings,Rajasthan Royals,15,2007/08,Punjab Kings,13,0
335987,1,Punjab Kings,Rajasthan Royals,16,2007/08,Punjab Kings,8,1
335987,1,Punjab Kings,Rajasthan Royals,17,2007/08,Punjab Kings,2,2
335987,1,Punjab Kings,Rajasthan Royals,18,2007/08,Punjab Kings,11,1
335987,1,Punjab Kings,Rajasthan Royals,19,2007/08,Punjab Kings,17,0
335987,2,Rajasthan Royals,Punjab Kings,0,2007/08,Punjab Kings,6,0
335987,2,Rajasthan Royals,Punjab Kings,1,2007/08,Punjab Kings,7,1
335987,2,Rajasthan Royals,Punjab Kings,2,2007/08,Punjab Kings,15,1
335987,2,Rajasthan Royals,Punjab Kings,3,2007/08,Punjab Kings,14,0
335987,2,Rajasthan Royals,Punjab Kings,4,2007/08,Punjab Kings,6,1
335987,2,Rajasthan Royals,Punjab Kings,5,2007/08,Punjab Kings,5,0
335987,2,Rajasthan Royals,Punjab Kings,6,2007/08,Punjab Kings,7,0
335987,2,Rajasthan Royals,Punjab Kings,7,2007/08,Punjab Kings,5,0
335987,2,Rajasthan Royals,Punjab Kings,8,2007/08,Punjab Kings,11,0
335987,2,Rajasthan Royals,Punjab Kings,9,2007/08,Punjab Kings,11,0
335987,2,Rajasthan Royals,Punjab Kings,10,2007/08,Punjab Kings,12,0
335987,2,Rajasthan Royals,Punjab Kings,11,2007/08,Punjab Kings,3,1
335987,2,Rajasthan Royals,Punjab Kings,12,2007/08,Punjab Kings,12,0
335987,2,Rajasthan Royals,Punjab Kings,13,2007/08,Punjab Kings,13,0
335987,2,Rajasthan Royals,Punjab Kings,14,2007/08,Punjab Kings,15,0
335987,2,Rajasthan Royals,Punjab Kings,15,2007/08,Punjab Kings,10,0
335987,2,Rajasthan Royals,Punjab Kings,16,2007/08,Punjab Kings,2,0
335987,2,Rajasthan Royals,Punjab Kings,17,2007/08,Punjab Kings,10,0
335987,2,Rajasthan Royals,Punjab Kings,18,2007/08,Punjab Kings,4,0
335988,1,Sunrisers Hyderabad,Delhi Capitals,0,2007/08,Sunrisers Hyderabad,1,0
335988,1,Sunrisers Hyderabad,Delhi Capitals,1,2007/08,Sunrisers Hyderabad,8,1
335988,1,Sunrisers Hyderabad,Delhi Capitals,2,2007/08,Sunrisers Hyderabad,6,0
335988,1,Sunrisers Hyderabad,Delhi Capitals,3,2007/08,Sunrisers Hyderabad,1,0
335988,1,Sunrisers Hyderabad,Delhi Capitals,4,2007/08,Sunrisers Hyderabad,7,0
335988,1,Sunrisers Hyderabad,Delhi Capitals,5,2007/08,Sunrisers Hyderabad,2,1
335988,1,Sunrisers Hyderabad,Delhi Capitals,6,2007/08,Sunrisers Hyderabad,9,0
335988,1,Sunrisers Hyderabad,Delhi Capitals,7,2007/08,Sunrisers Hyderabad,2,1
335988,1,Sunrisers Hyderabad,Delhi Capitals,8,2007/08,Sunrisers Hyderabad,7,0
335988,1,Sunrisers Hyderabad,Delhi Capitals,9,2007/08,Sunrisers Hyderabad,2,1
335988,1,Sunrisers Hyderabad,Delhi Capitals,10,2007/08,Sunrisers Hyderabad,9,0
